Contig_ID	Bin_ID	2-1-2.raw_fold	2-8-2.raw_fold	2-9-2.raw_fold	2-10-2.raw_fold	2-12-2.raw_fold
k127_3516449	metabat.151	0.82	1.0834	1.2134	1.1663	82.2965
k127_3517078	metabat.151	0.6885	1.2184	0.7106	0.3502	83.1763
k127_3535118	metabat.151	0.4288	1.0861	0.4403	0.3592	79.7961
k127_3535505	metabat.151	1.6007	1.7805	1.4383	0.8352	86.4756
k127_3553351	metabat.151	2.1798	4.7678	13.297	4.7394	94.8614
k127_3568263	metabat.151	0.8676	1.2419	1.0219	0.3493	81.8529
k127_3575445	metabat.151	0.0215	0.0951	0.0547	0.2029	72.9837
k127_3578926	metabat.151	4.8125	5.0986	7.7706	6.9982	99.8482
k127_3596564	metabat.151	0.7356	0.9955	0.9943	0.4952	80.5487
k127_3596639	metabat.151	0.7258	1.1915	0.3824	0.2662	83.3472
k127_3618472	metabat.151	0.2889	1.6898	3.8795	1.292	101.3889
k127_3658505	metabat.151	0.973	1.1057	1.2749	0.1363	83.2622
k127_3709243	metabat.151	0.8758	0.9188	1.0958	0.4708	93.9216
k127_3819565	metabat.151	1.4769	1.4112	1.4279	0.4267	82.8122
k127_3837922	metabat.151	0.1592	0.7555	0.672	0.4205	76.2272
k127_3864596	metabat.151	1.0303	0.9813	1.1579	0.842	76.4998
k127_3885617	metabat.151	0.2787	1.1409	3.6141	1.3524	89.8103
k127_3916205	metabat.151	0.2211	0.7085	0.3038	0.0631	88.4747
